rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
481,B0/S0123,False,0.693147,0.000000,0,16,0.006087,0.008115,0.000179,0.000081,0.775000,0.308761,1.38,0.38,False
482,B1/S0123,False,0.881339,0.000018,0,16,0.013188,0.013539,0.000228,0.000216,0.426923,0.377535,1.75,0.81,False
484,B2/S0123,False,1.199871,0.095805,0,16,0.035982,0.017952,0.000628,0.000408,0.248851,0.141447,4.88,2.19,False
486,B12/S0123,False,1.043115,0.040082,0,16,0.042606,0.032932,0.000660,0.000709,0.169325,0.158211,5.06,2.62,False
488,B3/S0123,False,1.097612,0.000294,0,16,0.035681,0.036546,0.000608,0.000589,0.269445,0.248137,4.69,2.25,False
490,B13/S0123,False,1.253881,0.013033,0,16,0.077574,0.028132,0.001231,0.000656,0.172030,0.060283,9.44,4.75,False
492,B23/S0123,False,0.735945,0.017951,0,16,0.053406,0.047918,0.000899,0.000935,0.132259,0.121972,6.94,3.25,False
494,B123/S0123,False,0.839438,0.011638,0,16,0.055498,0.043299,0.001201,0.001152,0.149743,0.120921,9.44,3.62,False
496,B4/S0123,False,0.933300,0.050559,0,16,0.003339,0.003910,0.000149,0.000050,0.813971,0.258760,0.94,0.00,False
498,B14/S0123,False,1.100884,0.010449,0,16,0.046451,0.028035,0.000589,0.000373,0.277126,0.215963,4.88,3.06,False
500,B24/S0123,False,1.284282,0.024987,0,16,0.127655,0.063247,0.002547,0.001691,0.157577,0.072946,19.12,7.75,True
502,B124/S0123,False,1.114411,0.012235,0,16,0.162206,0.094875,0.003763,0.002942,0.150946,0.188639,29.00,9.62,True
504,B34/S0123,False,1.097572,0.000335,0,16,0.070456,0.079397,0.001293,0.001528,0.111258,0.130244,9.50,4.06,False
506,B134/S0123,False,1.285950,0.043881,0,16,0.684214,0.059715,0.069285,0.012931,0.147035,0.025064,602.56,47.12,True
508,B234/S0123,False,0.658711,0.012117,0,16,0.641667,0.254134,0.120965,0.048567,0.225046,0.091644,1199.56,44.56,True
510,B1234/S0123,False,0.724489,0.018076,0,16,0.205584,0.316230,0.026934,0.041805,0.062272,0.096901,242.31,14.00,True
512,B/S4,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
514,B1/S4,False,0.964863,0.002078,0,16,0.904532,0.030383,0.227994,0.011010,0.278503,0.013587,2292.06,63.38,True
516,B2/S4,False,0.987810,0.077221,0,16,0.046066,0.055843,0.000285,0.000357,0.050583,0.070129,2.19,2.75,False
518,B12/S4,False,0.690714,0.008288,0,16,0.262887,0.106273,0.011139,0.006343,0.130919,0.056543,86.69,16.19,True
520,B3/S4,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
522,B13/S4,False,1.196975,0.002638,0,16,0.969057,0.010785,0.339412,0.005740,0.361301,0.005424,3396.00,67.81,True
524,B23/S4,False,0.995954,0.023474,0,16,0.534413,0.207259,0.018580,0.010640,0.057912,0.025730,172.25,35.75,True
526,B123/S4,False,0.694426,0.004755,0,16,0.018260,0.015260,0.000285,0.000140,0.532202,0.295574,2.12,1.12,False
528,B4/S4,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
530,B14/S4,False,0.988577,0.001325,0,16,0.687977,0.410604,0.192006,0.114772,0.228075,0.136510,1926.81,48.06,True
532,B24/S4,False,1.175615,0.035123,0,16,0.050244,0.053777,0.000301,0.000299,0.050106,0.074984,2.25,3.12,False
534,B124/S4,False,0.813342,0.027000,0,16,0.420510,0.176277,0.039771,0.019301,0.168075,0.072793,353.25,29.31,True
536,B34/S4,False,-inf,,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
538,B134/S4,False,1.108734,0.001558,0,16,0.767985,0.381542,0.253361,0.126065,0.283526,0.141150,2523.31,53.50,True
540,B234/S4,False,0.964690,0.052941,0,16,0.030433,0.027719,0.000603,0.000665,0.271006,0.248086,4.62,1.88,False
542,B1234/S4,False,0.693147,0.000000,0,16,0.006087,0.008115,0.000171,0.000092,0.712500,0.357538,1.31,0.38,False
544,B/S04,False,0.009533,0.007361,0,16,0.011159,0.012874,0.000098,0.000112,0.161538,0.253978,0.75,0.69,False
546,B1/S04,False,1.085484,0.001882,0,16,0.873697,0.233688,0.267674,0.072610,0.307894,0.083152,2683.19,61.12,True
548,B2/S04,False,1.179808,0.062645,0,16,0.076082,0.039187,0.000342,0.000228,0.041312,0.029517,2.62,4.69,False
550,B12/S04,False,0.893512,0.044359,0,16,0.244039,0.173109,0.009539,0.008616,0.101967,0.062860,77.50,15.44,True
552,B3/S04,False,1.124737,0.056166,0,16,0.023332,0.022151,0.000130,0.000143,0.077636,0.104595,1.00,1.44,False
554,B13/S04,False,1.260370,0.001066,0,16,0.986450,0.009573,0.382390,0.007810,0.392924,0.006861,3834.31,68.94,True
556,B23/S04,False,1.006218,0.013659,0,16,0.368622,0.133043,0.002856,0.001342,0.018135,0.008303,21.94,22.69,True
