rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
74701,B023678/S047,False,1.619066,0.001554,0,10,0.995131,0.007840,0.401408,0.009240,0.405341,0.009570,8029.20,69.70,True
74710,B124678/S047,False,1.815070,0.000916,0,10,1.000000,0.000000,0.462772,0.004451,0.462772,0.004451,9208.10,70.00,True
74742,B1245678/S047,False,1.487313,0.001566,0,10,0.974500,0.013004,0.367446,0.008369,0.386979,0.012903,7354.10,68.00,True
74880,B7/S147,False,0.733694,0.128219,0,10,0.021100,0.018820,0.000091,0.000088,0.052082,0.053480,1.40,1.30,False
74972,B23467/S147,False,1.622852,0.001243,0,10,0.995141,0.006897,0.414234,0.005819,0.418301,0.006287,8310.60,69.60,True
74986,B13567/S147,False,1.903197,0.001504,0,10,1.000000,0.000000,0.469233,0.003676,0.469233,0.003676,9351.60,70.00,True
74997,B024567/S147,False,1.574922,0.001802,0,10,0.993508,0.008382,0.396857,0.009461,0.402000,0.007344,7930.50,69.60,True
75117,B023568/S147,False,1.838118,0.001455,0,10,1.000000,0.000000,0.452031,0.005479,0.452031,0.005479,9027.80,70.00,True
75184,B4578/S147,False,0.715911,0.071941,0,10,0.086024,0.017194,0.000417,0.000192,0.051199,0.031262,6.40,5.30,False
75380,B2456/S0147,False,1.661217,0.000698,0,10,0.993508,0.008382,0.424174,0.007192,0.429731,0.008200,8438.10,69.60,True
75434,B1357/S0147,False,1.997473,0.001094,0,10,1.000000,0.000000,0.478451,0.003616,0.478451,0.003616,9480.40,70.00,True
75616,B568/S0147,False,0.637104,0.401022,0,10,0.040577,0.017531,0.000280,0.000187,0.120417,0.069638,4.30,2.50,False
75694,B123578/S0147,False,1.821852,0.001164,0,10,1.000000,0.000000,0.450195,0.003862,0.450195,0.003862,9011.90,70.00,True
75800,B34/S247,False,1.664669,0.001781,0,10,1.000000,0.000000,0.426478,0.006284,0.426478,0.006284,8536.40,70.00,True
75913,B037/S247,False,1.858769,0.001523,0,10,1.000000,0.000000,0.426494,0.004954,0.426494,0.004954,8490.00,70.00,True
76068,B258/S247,False,1.840938,0.001206,0,10,1.000000,0.000000,0.448091,0.002733,0.448091,0.002733,8955.90,70.00,True
76161,B078/S247,False,1.540584,0.046574,0,10,0.546734,0.093826,0.033026,0.007718,0.111920,0.029771,526.40,35.00,True
76328,B35/S0247,False,2.006745,0.002940,0,10,1.000000,0.000000,0.336244,0.018508,0.336244,0.018508,6430.80,70.00,True
76569,B0348/S0247,False,1.698658,0.001193,0,10,1.000000,0.000000,0.446107,0.004819,0.446107,0.004819,8894.30,70.00,True
76609,B068/S0247,False,1.603272,0.061034,0,10,0.116192,0.045447,0.001545,0.000764,0.099370,0.031939,22.70,7.00,True
76618,B1368/S0247,False,2.005932,0.001175,0,10,1.000000,0.000000,0.476392,0.001936,0.476392,0.001936,9495.30,70.00,True
76657,B04568/S0247,False,1.614209,0.002568,0,10,0.990582,0.008164,0.387542,0.005155,0.394935,0.006745,7756.00,69.40,True
76696,B3478/S0247,False,1.706622,0.000934,0,10,1.000000,0.000000,0.444628,0.005572,0.444628,0.005572,8854.50,70.00,True
76722,B14578/S0247,False,1.767152,0.000902,0,10,1.000000,0.000000,0.458266,0.003833,0.458266,0.003833,9164.20,70.00,True
76724,B24578/S0247,False,1.835038,0.001809,0,10,1.000000,0.000000,0.474507,0.003216,0.474507,0.003216,9424.60,70.00,True
76742,B12678/S0247,False,1.603106,0.001162,0,10,0.998377,0.005133,0.409781,0.006957,0.411113,0.006926,8195.80,69.90,True
76770,B15678/S0247,False,1.681994,0.001092,0,10,0.994608,0.010821,0.368725,0.006586,0.372749,0.006791,7353.50,69.60,True
77078,B1248/S1247,False,1.756917,0.001970,0,10,1.000000,0.000000,0.460348,0.004471,0.460348,0.004471,9213.30,70.00,True
77108,B2458/S1247,False,1.788541,0.001473,0,10,1.000000,0.000000,0.465260,0.003977,0.465260,0.003977,9249.50,70.00,True
77169,B04568/S1247,False,1.594194,0.002383,0,10,0.985995,0.010283,0.394253,0.003921,0.405535,0.007055,7915.80,69.00,True
77221,B02578/S1247,False,1.846239,0.001892,0,10,1.000000,0.000000,0.461702,0.004761,0.461702,0.004761,9210.00,70.00,True
77296,B45678/S1247,False,1.483210,0.018103,0,10,0.741349,0.072520,0.024506,0.006231,0.043936,0.012079,308.50,45.90,True
77317,B02/S01247,False,1.437414,0.017682,0,10,0.637458,0.063331,0.054527,0.008112,0.134062,0.020690,878.70,40.60,True
77566,B1234567/S01247,False,1.418010,0.001365,0,10,0.927665,0.011938,0.296042,0.006888,0.343687,0.008668,5993.10,64.80,True
77829,B02/S347,False,1.538400,0.002491,0,10,0.952006,0.011467,0.325259,0.012454,0.358524,0.009615,6515.20,66.70,True
77833,B03/S347,False,1.506772,0.002379,0,10,0.989662,0.007659,0.380863,0.006319,0.388897,0.010194,7606.10,69.30,True
77842,B14/S347,False,1.594428,0.001462,0,10,0.998377,0.005133,0.407706,0.008435,0.409024,0.008064,8145.10,69.90,True
77900,B236/S347,False,1.532440,0.001129,0,10,0.990477,0.008222,0.408725,0.006078,0.416631,0.008976,8139.20,69.40,True
78198,B124568/S347,False,1.577412,0.001436,0,10,0.989646,0.010921,0.388237,0.004887,0.396492,0.010876,7760.60,69.30,True
78272,B678/S347,False,1.403080,0.053084,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
78325,B0245678/S347,False,1.456888,0.001507,0,10,0.868088,0.305737,0.306285,0.107780,0.329392,0.116632,6126.40,60.90,True
78378,B135/S0347,False,1.835933,0.001040,0,10,1.000000,0.000000,0.470838,0.004428,0.470838,0.004428,9377.60,70.00,True
78598,B128/S0347,False,1.357472,0.002258,0,10,0.933977,0.013946,0.303502,0.006648,0.347785,0.012137,6080.00,65.20,True
78690,B1568/S0347,False,1.475505,0.001568,0,10,0.967944,0.012994,0.327336,0.007916,0.349300,0.010247,6560.20,67.80,True
78712,B34568/S0347,False,1.339187,0.001397,0,10,0.847148,0.297798,0.296561,0.104580,0.334391,0.117759,5945.70,59.30,True
78801,B04678/S0347,False,1.491074,0.009497,0,10,0.977837,0.013594,0.337554,0.009407,0.352908,0.006486,6713.30,68.40,True
78900,B245/S1347,False,1.680075,0.001152,0,10,1.000000,0.000000,0.436543,0.008083,0.436543,0.008083,8744.30,70.00,True
78965,B02456/S1347,False,1.626363,0.001312,0,10,0.991993,0.008446,0.401722,0.004464,0.408251,0.007746,7992.00,69.50,True
79034,B13457/S1347,False,1.525455,0.001298,0,10,0.993508,0.011349,0.401727,0.007965,0.406993,0.007692,8010.10,69.60,True
79096,B34567/S1347,False,1.299465,0.001113,0,10,0.923150,0.018800,0.299235,0.008921,0.350835,0.009341,5983.00,64.40,True
79262,B123478/S1347,False,1.367557,0.001351,0,10,0.971089,0.012728,0.359494,0.010763,0.381041,0.008545,7242.40,67.90,True
79532,B2357/S01347,False,1.788163,0.001110,0,10,1.000000,0.000000,0.454193,0.003978,0.454193,0.003978,9062.30,70.00,True
79576,B3467/S01347,False,1.566584,0.001752,0,10,0.997762,0.005283,0.425634,0.006879,0.427524,0.004925,8512.20,69.80,True
79622,B128/S01347,False,1.370289,0.001827,0,10,0.948913,0.020144,0.312276,0.008235,0.346814,0.012728,6233.50,66.00,True
79688,B368/S01347,False,1.661945,0.000891,0,10,0.998377,0.005133,0.428002,0.005202,0.429403,0.006089,8584.30,69.90,True
79800,B34578/S01347,False,1.447043,0.002356,0,10,0.983707,0.012562,0.375784,0.008080,0.388265,0.006367,7504.00,68.80,True
80081,B0467/S2347,False,1.540405,0.002682,0,10,0.980928,0.014954,0.389813,0.009676,0.405041,0.006455,7761.30,68.50,True
80118,B124567/S2347,False,1.418675,0.001809,0,10,0.953979,0.012885,0.329567,0.009868,0.362004,0.012332,6592.30,66.70,True
80168,B358/S2347,False,1.705448,0.002732,0,10,1.000000,0.000000,0.434769,0.004441,0.434769,0.004441,8653.10,70.00,True
80181,B02458/S2347,False,1.595303,0.001148,0,10,0.998377,0.005133,0.416808,0.003579,0.418171,0.004546,8314.60,69.90,True
80222,B123468/S2347,False,1.459813,0.003242,0,10,0.772844,0.407692,0.285844,0.150810,0.306332,0.161874,5732.30,54.20,True
80230,B12568/S2347,False,1.520393,0.001054,0,10,0.968309,0.012707,0.370219,0.007734,0.394687,0.005937,7385.70,67.90,True
80240,B4568/S2347,False,1.362297,0.004600,0,10,0.918505,0.023456,0.246350,0.014968,0.292192,0.023812,4692.40,64.20,True
80244,B24568/S2347,False,1.544798,0.001227,0,10,0.882431,0.310368,0.334169,0.117733,0.347597,0.122535,6673.40,61.70,True
80262,B1278/S2347,False,1.198202,0.041049,0,10,0.174627,0.092549,0.003121,0.001644,0.121550,0.069554,47.30,10.90,True
80500,B2456/S02347,False,1.537425,0.002382,0,10,0.974664,0.014249,0.370123,0.011346,0.389605,0.013175,7389.00,68.20,True
80618,B13567/S02347,False,1.639997,0.001812,0,10,0.995131,0.007840,0.403566,0.007822,0.407488,0.006187,8045.80,69.70,True
